Battery Capacity (kWh),Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Vehicle Model_BMW i3,Vehicle Model_Chevy Bolt,Vehicle Model_Hyundai Kona,Vehicle Model_Nissan Leaf,Vehicle Model_Tesla Model 3,Charging Station Location_Chicago,Charging Station Location_Houston,Charging Station Location_Los Angeles,Charging Station Location_New York,Charging Station Location_San Francisco,Time of Day_Afternoon,Time of Day_Evening,Time of Day_Morning,Time of Day_Night,Day of Week_Friday,Day of Week_Monday,Day of Week_Saturday,Day of Week_Sunday,Day of Week_Thursday,Day of Week_Tuesday,Day of Week_Wednesday,Charger Type_DC Fast Charger,Charger Type_Level 1,Charger Type_Level 2,User Type_Casual Driver,User Type_Commuter,User Type_Long-Distance Traveler
50.0,2024-01-01,2024-01-01,18.21,2.65,10.31,38.22,76.09,82.27,64.63,0.5,3.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
85.0,2024-01-01,2024-01-01,22.56,2.06,4.46,14.05,14.62,85.86,194.76,34.26,0.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
100.0,2024-01-01,2024-01-01,34.26,3.07,5.52,10.97,19.21,51.63,249.13,23.66,0.0,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
75.0,2024-01-01,2024-01-01,16.56,3.59,19.77,37.44,25.78,69.2,159.23,34.11,7.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
85.0,2024-01-01,2024-01-01,12.93,3.42,24.21,18.55,71.68,63.71,155.36,39.51,4.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
100.0,2024-01-01,2024-01-01,27.35,2.7,11.11,33.09,10.68,72.4,247.66,-8.3,1.54,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
97.68,2024-01-01,2024-01-01,24.73,3.46,49.4,17.49,67.59,89.94,237.31,4.42,7.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
50.0,2024-01-01,2024-01-01,23.82,0.85,6.61,6.43,57.6,74.96,22.01,18.41,6.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
100.0,2024-01-01,2024-01-01,42.64,0.81,20.49,25.08,55.52,52.71,280.86,37.43,0.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
50.0,2024-01-01,2024-01-01,48.48,2.58,45.29,7.09,12.75,116.1,243.26,9.2,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
50.0,2024-01-01,2024-01-01,50.28,3.17,30.49,28.87,16.55,77.94,15.42,33.98,3.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
62.0,2024-01-01,2024-01-01,59.14,2.93,25.6,34.85,71.53,75.97,219.63,-2.76,5.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
75.0,2024-01-01,2024-01-02,49.2,2.56,19.19,14.86,49.02,64.48,298.19,39.96,4.26,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
100.0,2024-01-01,2024-01-01,68.45,2.07,49.71,38.41,19.23,74.01,280.92,3.58,5.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
100.0,2024-01-02,2024-01-02,27.6,0.96,11.24,24.04,65.49,65.35,173.47,35.98,4.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
75.0,2024-01-02,2024-01-02,40.18,3.6,12.32,38.76,80.34,80.0,82.75,21.54,1.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
75.0,2024-01-02,2024-01-02,43.49,3.65,36.18,27.45,88.75,87.82,80.91,29.87,0.36,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
50.0,2024-01-02,2024-01-02,10.34,1.55,45.78,9.86,98.33,94.5,162.69,5.5,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
75.0,2024-01-02,2024-01-02,31.68,2.44,48.65,25.62,34.73,54.4,152.26,20.38,3.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
75.0,2024-01-02,2024-01-02,56.59,3.15,45.81,33.13,29.21,85.01,186.16,12.33,0.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
100.0,2024-01-02,2024-01-02,19.47,1.44,7.04,36.95,31.32,78.06,152.26,8.35,2.0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
100.0,2024-01-02,2024-01-02,38.29,2.01,12.06,17.01,75.64,65.62,238.91,2.27,6.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
100.0,2024-01-02,2024-01-02,16.14,1.31,21.52,26.44,23.6,88.2,35.5,39.38,1.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
62.0,2024-01-02,2024-01-02,60.07,1.0,7.65,18.03,22.88,51.43,46.36,13.99,1.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
75.0,2024-01-02,2024-01-02,57.72,1.87,4.49,35.5,41.87,79.65,157.61,28.43,1.81,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
75.0,2024-01-02,2024-01-02,37.37,2.89,18.87,29.87,24.49,73.38,76.2,59.75717528575633,4.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
75.0,2024-01-02,2024-01-02,39.94,3.47,28.63,15.86,85.86,50.4,102.43,31.46,1.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
75.0,2024-01-02,2024-01-02,73.39,1.04,38.45,15.88,49.28,94.6,42.1,33.93,6.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
85.0,2024-01-02,2024-01-02,61.52,1.28,12.51,26.51,87.98,79.39,141.24,5.76,7.0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
100.0,2024-01-02,2024-01-02,68.18,3.24,23.31,8.5,17.04,56.08,130.38,-3.19,2.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
79.8,2024-01-02,2024-01-02,67.52,1.96,6.9,29.22,80.86,62.53,119.63,35.23,1.97,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
100.0,2024-01-02,2024-01-02,39.4,2.4,20.46,26.62,28.25,96.29,111.02,19.78,2.94,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
85.0,2024-01-02,2024-01-02,12.05,1.37,29.47,32.04,36.64,66.98,83.25,39.42,4.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
48.8,2024-01-02,2024-01-02,77.05,3.03,8.39,6.36,15.14,84.34,144.01,22.07,1.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
75.0,2024-01-02,2024-01-02,42.69,3.3,5.11,30.04,15.22,126.38347784460416,49.38,32.01,3.68,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
62.0,2024-01-02,2024-01-02,46.81,3.88,16.92,10.61,49.3,90.97,210.17,-0.04,1.0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
75.0,2024-01-02,2024-01-03,67.48,2.11,49.6,19.03,63.04,81.75,97.45,3.19,5.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
62.0,2024-01-02,2024-01-02,30.71,1.63,6.35,18.13,76.12,76.68,18.93,27.9,0.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
85.0,2024-01-03,2024-01-03,42.69,1.74,14.15,13.11,77.81,87.95,212.94,-4.45,1.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
100.0,2024-01-03,2024-01-03,8.71,2.21,49.28,9.64,27.2,86.89,170.48,5.38,6.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
85.0,2024-01-03,2024-01-03,9.07,0.51,40.18,24.5,13.87,93.63,226.22,30.69,2.62,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
50.0,2024-01-03,2024-01-03,58.73,1.89,13.18,28.1,83.86,71.37,57.38,1.94,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False
50.0,2024-01-03,2024-01-03,65.99,3.31,46.28,18.85,17.39,73.44,235.0,-7.72,0.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
62.0,2024-01-03,2024-01-03,75.0,1.91,35.93,34.09,87.29,80.42,51.83,17.81,5.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
100.0,2024-01-03,2024-01-03,17.77,3.31,34.46,9.8,27.7,70.51,166.31,19.7,4.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
76.88,2024-01-03,2024-01-03,50.27,1.68,36.3,38.94,13.49,82.7,133.99,3.04,0.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
69.88,2024-01-03,2024-01-03,76.45,3.87,11.34,30.19,63.67,55.39,191.94,10.42,2.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
62.0,2024-01-03,2024-01-03,77.86,0.92,47.15,28.3,56.92,57.47,129.39,38.47,3.0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
100.0,2024-01-03,2024-01-03,21.89,1.29,25.37,8.64,80.23,64.67,148.42,5.07,7.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
100.0,2024-01-03,2024-01-03,71.28,2.41,40.62,6.74,26.16,89.92,140.47,33.06,5.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
62.0,2024-01-03,2024-01-03,21.83,2.08,26.51,36.07,33.26,51.5,48.04,38.66,7.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
75.0,2024-01-03,2024-01-03,62.72,2.12,31.0,30.04,82.84,72.83,282.94,32.85,7.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
124.32,2024-01-03,2024-01-03,46.2,0.65,47.88,30.86,53.01,59.9,25.03,6.17,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
100.0,2024-01-03,2024-01-03,29.35,2.48,6.87,24.65,85.33,67.48,127.02,34.06,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
50.0,2024-01-03,2024-01-03,76.93,2.12,34.18,34.23,27.17,92.14,295.89,7.94,2.59,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
62.0,2024-01-03,2024-01-03,59.25,1.28,25.6,12.22,77.04,91.83,167.3,35.27,7.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
100.0,2024-01-03,2024-01-03,37.06,1.61,15.23,37.88,7.52,67.8,98.15,16.48,2.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
85.0,2024-01-03,2024-01-03,67.7,0.86,32.98,13.78,22.49,86.78,81.28,-7.33,6.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
75.0,2024-01-03,2024-01-03,16.41,1.7,25.6,21.67,36.95,77.14,188.47,18.54,7.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
50.0,2024-01-03,2024-01-03,67.01,3.61,4.09,14.42,57.68,57.11,276.37,-2.72,4.12,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
75.0,2024-01-03,2024-01-04,70.62,3.28,26.07,15.47,86.23,57.97,23.0,34.85,2.77,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
75.0,2024-01-03,2024-01-04,61.13,0.95,23.28,37.15,34.9,92.36,58.86,7.66,1.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
85.0,2024-01-04,2024-01-04,22.88,1.57,29.99,10.71,15.67,96.6,98.47,19.21,3.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
59.83,2024-01-04,2024-01-04,12.89,0.58,40.88,15.2,31.55,97.46,183.17,28.64,2.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
85.0,2024-01-04,2024-01-04,69.17,2.29,5.56,20.77,41.09,74.4,276.57,20.01,4.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
50.0,2024-01-04,2024-01-04,42.69,3.52,9.57,24.79,51.28,93.2,171.9,-5.28,4.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
100.0,2024-01-04,2024-01-04,49.28,3.87,49.41,39.93,86.33,75.5,246.34,30.08,0.0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
75.0,2024-01-04,2024-01-04,31.22,3.34,30.03,17.6,39.52,71.27,242.49,39.83,3.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
100.0,2024-01-04,2024-01-04,30.65,1.03,28.52,39.32,38.12,81.2,12.15,-4.93,1.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
75.0,2024-01-04,2024-01-04,59.99,3.73,23.42,15.68,88.1,96.13,281.76,15.06,0.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
48.05,2024-01-04,2024-01-04,51.67,0.69,46.6,18.01,55.07,62.94,222.27,2.55,7.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
50.0,2024-01-04,2024-01-04,35.91,2.73,25.6,19.28,48.89,43.05,93.86,33.08,6.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
85.0,2024-01-04,2024-01-04,41.61,0.81,25.6,29.53,55.0,97.26,94.65,17.74,3.0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
62.0,2024-01-04,2024-01-04,32.83,3.41,44.49,39.67,26.65,63.71,279.9,5.8,1.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False
50.0,2024-01-04,2024-01-04,57.92,1.26,12.54,19.82,49.87,54.26,64.14,1.83,1.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
100.0,2024-01-04,2024-01-04,21.66,1.89,32.95,18.03,78.43,97.73,170.56,10.4,3.0,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
62.0,2024-01-04,2024-01-04,41.01,3.37,45.32,18.07,73.62,83.05,103.79,-4.57,3.0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
62.0,2024-01-04,2024-01-04,79.82,2.61,13.01,35.97,86.11,69.4,274.02,10.69,2.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
85.0,2024-01-04,2024-01-04,33.07,1.47,30.34,15.55,105.03,83.02,164.68,-6.51,1.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
75.0,2024-01-04,2024-01-04,27.84,2.54,17.0,12.28,47.99,85.87,79.35,7.52,7.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
50.0,2024-01-04,2024-01-04,28.44,1.08,42.43,13.78,13.67,96.35,398.36,27.81,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
62.0,2024-01-04,2024-01-04,68.57,2.93,5.45,15.89,50.32,93.89,191.46,37.9,4.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
85.0,2024-01-04,2024-01-04,65.43,0.93,20.27,10.4,76.47,75.85,71.44,30.2,6.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
75.0,2024-01-04,2024-01-04,71.62,3.52,31.27,21.26,51.79,64.55,16.68,-1.72,3.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False
85.0,2024-01-04,2024-01-05,7.93,2.34,44.12,33.82,42.74,72.97,55.68,16.81,7.0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
24.6,2024-01-04,2024-01-05,42.69,1.38,32.44,38.06,48.33,85.07,152.26,23.4,5.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
75.0,2024-01-05,2024-01-05,55.73,3.83,21.72,38.09,63.4,68.35,74.05,34.66,0.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
85.0,2024-01-05,2024-01-05,31.05,0.69,28.0,6.25,47.16,66.19,152.26,15.63,7.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
62.0,2024-01-05,2024-01-05,15.92,3.35,17.55,9.53,80.2,73.22,117.79,15.44,0.93,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
100.0,2024-01-05,2024-01-05,50.9,3.62,25.6,28.34,54.45,60.56,10.44,30.04,7.0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
77.3,2024-01-05,2024-01-05,71.48,0.65,25.6,11.36,27.58,53.79,197.65,28.98,3.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
100.0,2024-01-05,2024-01-05,74.15,4.12,31.28,26.0,12.96,52.99,91.38,35.79,0.0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True
75.0,2024-01-05,2024-01-05,46.78,3.12,32.08,18.59,77.52,56.73,246.22,27.27,4.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
95.15,2024-01-05,2024-01-05,8.47,1.96,16.02,31.24,84.4,73.57,297.55,22.17,1.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
85.0,2024-01-05,2024-01-05,61.7,2.53,30.78,22.49,84.27,57.22,208.65,28.31,6.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
62.0,2024-01-05,2024-01-05,41.26,3.6,29.08,29.02,64.42,73.24,268.52,19.64,6.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
85.0,2024-01-05,2024-01-05,6.5,1.49,35.93,35.24,67.52,57.35,204.77,35.96,6.0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
136.41540803505134,2024-01-05,2024-01-05,65.89,3.15,24.83,11.04,27.38,64.7,74.92,13.42,6.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
50.0,2024-01-05,2024-01-05,13.26,3.07,47.67,32.91,25.0,90.02,220.67,31.87,3.0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
85.0,2024-01-05,2024-01-05,42.69,3.29,49.88,13.28,59.85,56.29,137.14,0.03,5.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
62.0,2024-01-05,2024-01-05,27.43,0.91,32.17,19.78,74.65,23.89999185236553,216.07,-4.15,5.0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
100.0,2024-01-05,2024-01-05,7.36,2.43,11.48,13.79,77.49,71.63,166.67,-7.81,5.0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
100.0,2024-01-05,2024-01-05,36.14,2.45,36.38,7.87,48.61,95.83,48.12,32.31,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
85.0,2024-01-05,2024-01-05,29.17,1.84,28.5,9.16,64.07,83.79,242.0,42.74,5.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
85.0,2024-01-05,2024-01-05,43.45,1.41,25.6,34.68,55.71,52.81,38.2,19.87,5.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
100.0,2024-01-05,2024-01-05,26.87,2.46,12.05,17.54,28.18,54.56,289.57,7.79,3.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
85.0,2024-01-05,2024-01-05,17.93,2.78,25.58,25.5,29.95,76.88,104.4,38.36,7.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
50.0,2024-01-05,2024-01-05,60.47,3.19,25.6,15.89,74.54,79.37,84.38,32.84,2.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
50.0,2024-01-05,2024-01-06,17.7,3.46,19.71,19.92,47.81,79.37,258.65,-9.35,7.0,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
63.1,2024-01-05,2024-01-06,47.71,1.18,25.6,15.35,49.54,57.94,214.47,34.28,1.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False
