Battery Capacity (kWh),Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Vehicle Model_bmw i3,Vehicle Model_chevy bolt,Vehicle Model_hyundai kona,Vehicle Model_nissan leaf,Vehicle Model_tesla model 3,Charging Station Location_chicago,Charging Station Location_houston,Charging Station Location_los angeles,Charging Station Location_new york,Charging Station Location_san francisco,Time of Day_afternoon,Time of Day_evening,Time of Day_morning,Time of Day_night,Day of Week_friday,Day of Week_monday,Day of Week_saturday,Day of Week_sunday,Day of Week_thursday,Day of Week_tuesday,Day of Week_wednesday,Charger Type_dc fast charger,Charger Type_level 1,Charger Type_level 2,User Type_casual driver,User Type_commuter,User Type_long-distance traveler
100.0,38.289199335542705,2.0076640542660726,12.064391459035129,17.011782945517666,75.6447784790562,65.61730718592959,238.90931096310857,2.273162900972052,6.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
100.0,16.136238725396332,1.306927271746284,21.517815048554308,26.438194237490425,23.603991432132744,88.2000728013921,35.50388319357353,39.38401391534167,1.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
62.0,60.06708508895625,0.9991001884039166,7.651570046980447,18.034390040505443,22.881466625938913,51.43427868199236,46.35755886056615,13.991597483206988,1.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
75.0,57.72437946101146,1.8735815970397776,4.48564710517362,35.50300017025295,41.87247964240577,79.64797277486439,157.61465400806637,28.429807376567297,1.8091728675018728,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
75.0,37.374516060783755,2.8916769844807484,18.865801960923783,29.86624992587584,24.492208584397694,73.38017572592224,76.20353921863803,59.75723970375255,4.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
75.0,39.940563619980615,3.4700034335371615,28.62519932675557,15.85532743055342,85.85755579960261,50.403654740892144,102.43030218211146,31.46130901681466,1.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
75.0,73.38661952275571,1.0404523051899732,38.45083190087793,15.882703983823514,49.27538752823665,94.59708190417813,42.09574394400221,33.92957037271362,6.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
85.0,61.52075986084904,1.2804107080349374,12.510248962442,26.50571298106416,87.98462138000619,79.3884433831648,141.24375349788664,5.761050673536548,7.0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
100.0,68.17785003637414,3.2424460582484915,23.31161908295264,8.498571936835022,17.040420024456118,56.07865100803714,130.37601376208403,-3.191455365646359,2.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
79.7992037611215,67.51805822343026,1.9623405401552507,6.897878329777162,29.222361949491813,80.86258863357027,62.52531776559165,119.63099233488512,35.233158486596466,1.9692327223243995,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
100.0,39.398742356080696,2.3977153605176023,20.460364868950172,26.619717748813553,28.252298260726327,96.287092238838,111.01653950164392,19.78108389153856,2.941663235080507,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
85.0,12.049319706245154,1.373881357931789,29.468944357780007,32.04209859904496,36.636852158024986,66.97610432369274,83.24522142563875,39.41613092437325,4.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
48.796482639735174,77.0536063752363,3.0302026852302735,8.388039538136447,6.364629693637992,15.144122471302746,84.3423268685863,144.01398119262163,22.069470800563764,1.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
75.0,42.69140537961698,3.296056589144087,5.114613366354828,30.037968888364997,15.220938965012722,126.38332876842395,49.384266364222384,32.01457653994244,3.680052855954801,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
62.0,46.80719594482398,3.877992452581901,16.91833198373123,10.608875787751984,49.29876550655081,90.97067522699976,210.17109719106028,-0.0390790306437483,1.0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
75.0,67.47546614008147,2.1051170788531968,49.60079964847686,19.030700212720895,63.035941874368895,81.75095350359373,97.4539049287794,3.194124642496231,5.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
62.0,30.710934027103814,1.6336686079712066,6.35266144526304,18.131831711875755,76.12005335845825,76.68243090588436,18.934515488450756,27.895176779200867,0.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
85.0,42.69140537961698,1.743435263200667,14.149666187068805,13.112873665958404,77.80942281830983,87.94811448093188,212.94034180826677,-4.446670670320875,1.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
100.0,8.713190575944605,2.2095428234972503,49.275345589419594,9.644101413904608,27.196196012553663,86.89391764029943,170.47505412270155,5.37807958403098,6.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
85.0,9.06588081544948,0.5123781829612861,40.17800199145749,24.501893310078895,13.873858113381532,93.62842306259267,226.2193631647091,30.69198380180764,2.6163324827383008,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
50.0,58.73397361690925,1.88926151834522,13.175727296302622,28.102310057172495,83.86192690828396,71.37448250923295,57.38072425225101,1.9411051564848716,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False
50.0,65.98624912728606,3.3138023577161824,46.27844331315938,18.84961040539716,17.38966714207173,73.4380396237612,234.99666157294837,-7.719425911074026,0.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
62.0,74.99970643372605,1.9113031543827852,35.92512612379792,34.08661865816688,87.28930579942039,80.41641729522466,51.82835201742095,17.805383646122152,5.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
100.0,17.769436409407696,3.3140797633169585,34.45824193725993,9.798498137959154,27.697492486196495,70.51026724863107,166.3114629994677,19.703359179359488,4.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
76.87610037599295,50.26893407436542,1.6783584198879236,36.303372348344666,38.94193996256931,13.48827068689701,82.69521185847714,133.99209364319893,3.0428293410416227,0.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
69.88407424915135,76.45046498743068,3.873449980578508,11.339063162639302,30.192234438786446,63.67446343632872,55.389776083986256,191.93791499432749,10.424645029884408,2.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
62.0,77.86372676031044,0.9179022472670976,47.15400980350787,28.30319111612704,56.91742176324378,57.46568225034442,129.3894111090679,38.46677944602198,3.0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
100.0,21.89299267514347,1.285283896923329,25.37395430520664,8.637821690612405,80.22553380560572,64.66736188293022,148.41561166314776,5.073167724155329,7.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
100.0,71.28000416235402,2.413754936898993,40.61639923013172,6.744728812226459,26.156597950855193,89.92458852765273,140.46521317115082,33.05773080632935,5.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
62.0,21.827688177386452,2.082100007126398,26.507123221525298,36.06804149617966,33.255985091753644,51.50113226723436,48.044387156223145,38.65644395728205,7.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
75.0,62.723162291274086,2.1178933499543517,30.9970269340748,30.04444235282833,82.84418006572773,72.83328568716698,282.94232177358236,32.852732623649764,7.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
124.31591138552656,46.1951370011332,0.6505075790560018,47.877523557605265,30.86418085784876,53.00518532661712,59.90164627311141,25.02725725569419,6.17125670947679,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
100.0,29.34565985727085,2.482090675316866,6.871184621235036,24.64975872994209,85.33141901899155,67.47790562555141,127.02180106032571,34.06193919136979,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
50.0,76.93342189972203,2.1234202003251825,34.17685550275657,34.22830190454739,27.1746153338806,92.14463369734484,295.8937220745894,7.9416880917232575,2.5918513275137545,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
62.0,59.25460166411963,1.2796206959579637,25.603799331857445,12.220438303566691,77.03697398688679,91.82927487145972,167.29757277309406,35.27145068625696,7.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
100.0,37.06292777850246,1.6090994326029475,15.230062587672052,37.87533457659361,7.520444726979813,67.79787265012489,98.14598101957088,16.483705935041975,2.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
85.0,67.69516175123809,0.8575824648349768,32.97506874142168,13.775619212920864,22.48839981099202,86.77766611416524,81.28450037675881,-7.332648303750763,6.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
75.0,16.41401693253662,1.702974822474663,25.603799331857445,21.667786643873225,36.950283611109775,77.13616493524884,188.47148981831265,18.53871081800196,7.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
50.0,67.00568214318923,3.608030961009233,4.092360865180499,14.42396639096435,57.677660751028775,57.11286224854077,276.3684303122313,-2.7249027658978378,4.122767456931069,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
75.0,70.61729259484447,3.2801429687726915,26.07041362744592,15.470777907245134,86.22602519571817,57.969655423091886,23.003998749296237,34.847907975386214,2.7713464837060098,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
75.0,61.13047583037784,0.947277208902377,23.281804960483075,37.14898172847161,34.89904374917877,92.355661174546,58.85531551787028,7.662649708995332,1.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
85.0,22.88203842151127,1.5694707135750048,29.98922250219449,10.709582024361996,15.67448546968074,96.59770241767578,98.47402709278698,19.213164486767734,3.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
59.832726512242694,12.894887186031896,0.5815047780490367,40.884098898228984,15.197334165353636,31.549182203883916,97.46254098173988,183.1712811493433,28.637604322914584,2.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
85.0,69.16916705566726,2.285242161327478,5.557358509328086,20.76646440802641,41.089044871443264,74.39951852877809,276.57481915586186,20.014324466284243,4.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
50.0,42.69140537961698,3.520690375905822,9.56924507314763,24.79072323320694,51.281403473410386,93.19846283246213,171.89615323236094,-5.275727979646041,4.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
100.0,49.2788373994772,3.865136106678535,49.41151925702685,39.93168076046508,86.32698824285714,75.50151044016273,246.3443697107785,30.082058806726685,0.0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
75.0,31.218889683829406,3.340997592022919,30.02591267156402,17.60489531315022,39.517616762842984,71.27176463552543,242.48556290631953,39.83142977123109,3.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
100.0,30.651699818598622,1.0288186666188504,28.522353335495257,39.322054380129146,38.12132999285809,81.19721083979802,12.149516678078117,-4.932743443178868,1.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
75.0,59.9864767329939,3.729365399834844,23.417921150036506,15.683016562744246,88.09676846371462,96.1305685919979,281.763740323611,15.060622448535312,0.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
48.0506947257829,51.67374779364138,0.6917553642371982,46.59567841482084,18.01181177893121,55.07217407784221,62.93578010941694,222.2746666893461,2.5542438030517296,7.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
50.0,35.9072426531086,2.7255608456585247,25.601620872044332,19.2835226965972,48.887624255601864,43.05075612226932,93.85786768644309,33.076751459606555,6.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
85.0,41.60783353260332,0.8070687454194462,25.603799331857445,29.532932865621344,54.997649082294174,97.26161624347915,94.645250164602,17.737387789603858,3.0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
62.0,32.83295683246542,3.4086383448749484,44.492366139662046,39.67482338466678,26.654722048049937,63.71062691853387,279.8982720475401,5.803389498206,1.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False
50.0,57.92445004054599,1.261117292569857,12.538161906875358,19.81732290839241,49.87203405296153,54.26143302124691,64.13545483676491,1.8254496871976091,1.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
100.0,21.656164115674237,1.8944268875741128,32.95451081519971,18.02550998683417,78.43462826424621,97.7254403635819,170.55772537142218,10.401511433472187,3.0,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
62.0,41.01058174547109,3.3669557754635044,45.320109597695435,18.06652173487606,73.62283683904118,83.05427335844938,103.7883061403116,-4.572249344016912,3.0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
62.0,79.81869447094793,2.6064796291623145,13.009732230851895,35.97131697104875,86.11175650087344,69.39563151935643,274.02065391535655,10.69221008986976,2.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
85.0,33.07294950547435,1.4696595869919784,30.34474844582327,15.55083822587802,105.03222404185644,83.02347311843918,164.68289235141916,-6.514431826571196,1.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
75.0,27.84315247164263,2.543139660740745,17.00464384697846,12.278331917423372,47.99218334647701,85.86518688525221,79.354979042724,7.516861653406636,7.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
50.0,28.440773917754164,1.0796586545757096,42.42512683318396,13.779804175546838,13.667240803504384,96.3460346157945,398.3647747436511,27.813135549380647,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
62.0,68.57302471319414,2.9303906461796965,5.4546927018545635,15.889414479213295,50.31669101477427,93.89345034552564,191.45599448624304,37.89979105281139,4.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
85.0,65.431016913359,0.929486553755634,20.272698935130492,10.395657972388529,76.46681163744769,75.84995702645678,71.43600424010651,30.199709557192065,6.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
75.0,71.61568949106118,3.5150120063589623,31.271844526976924,21.263560509313127,51.794505043999976,64.55436324971151,16.681445822961763,-1.7198500093383,3.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False
85.0,7.930901450146639,2.3423957855284567,44.12212998806049,33.81843011264206,42.73907176379696,72.96602310099009,55.67750505100865,16.808358267905795,7.0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
24.599922148424582,42.69140537961698,1.382497912326283,32.43654897645034,38.05802231508733,48.32735368393833,85.0674221187275,152.25986699080715,23.398468358721537,5.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
75.0,55.72920335411825,3.8290118099189465,21.723067323519977,38.093717509092535,63.40496814289373,68.34785563762274,74.05219273087201,34.663455770884916,0.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
85.0,31.046574961450595,0.6902816245406431,28.004859152178906,6.254545331359625,47.1578609567738,66.19348839519058,152.25986699080715,15.627395920888151,7.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
62.0,15.91756323749268,3.348390650345465,17.551626214972885,9.531208380836189,80.19872330540268,73.21652206981314,117.79183997954787,15.435807030838417,0.9252766613340968,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
100.0,50.90348235510272,3.6213171012978576,25.603799331857445,28.33888703339029,54.44920445667424,60.55781887703402,10.441929226166076,30.044882883320888,7.0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
77.29894528855995,71.47764853216556,0.6525822262740804,25.603799331857445,11.363775646021429,27.575010034358534,53.788025246062965,197.645675922734,28.97677092966469,3.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
100.0,74.15366015953305,4.123064395584728,31.277429485665618,26.00015639782484,12.95698801764483,52.98996709630494,91.38484095029033,35.79315361674979,0.0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True
75.0,46.77551047348464,3.1185084418609943,32.080052394592826,18.58840410649021,77.52375722942914,56.731410370149234,246.22285126975876,27.26694562215317,4.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
