Year,GDP Real (USD),GDP growth (%),Per Capita,World Population,Net Change,Population change (%),Fossil CO2 Emissions (tons),CO2 emissions change,CO2 emissions per capita,Population Density (P/Km²),Fossil CO2 Emissions (tons) (lag1),CO2 emissions per capita (lag1),World Population (lag1),GDP Real (USD) (lag1),GDP growth (%) (lag1)
1995,40400000000000.0,0.031,7014,5758878982,83327727,0.0147,23558143540,0.0291,4.09,39,22891582830.0,4.03,5675551255.0,39200000000000.0,0.0334
1996,41800000000000.0,0.0358,7162,5842055734,83176752,0.0144,24014901730,0.0194,4.11,39,23558143540.0,4.09,5758878982.0,40400000000000.0,0.031
1997,43500000000000.0,0.0395,7341,5924787816,82732082,0.0142,24484291960,0.0195,4.13,40,24014901730.0,4.11,5842055734.0,41800000000000.0,0.0358
1998,44700000000000.0,0.0284,7446,6007066690,82278874,0.0139,24642487230,0.0065,4.1,40,24484291960.0,4.13,5924787816.0,43500000000000.0,0.0395
1999,46300000000000.0,0.0359,7610,6089006339,81939649,0.0136,24821873390,0.0073,4.08,41,24642487230.0,4.1,6007066690.0,44700000000000.0,0.0284
2000,48400000000000.0,0.0453,7848,6171702993,82696654,0.0136,25620997640,0.0322,4.15,41,24821873390.0,4.08,6089006339.0,46300000000000.0,0.0359
2001,49400000000000.0,0.0203,7901,6254936459,83233466,0.0135,25938836700,0.0124,4.15,42,25620997640.0,4.15,6171702993.0,48400000000000.0,0.0453
2002,50600000000000.0,0.0232,7979,6337730342,82793883,0.0132,26344002090,0.0156,4.16,43,25938836700.0,4.15,6254936459.0,49400000000000.0,0.0203
2003,52100000000000.0,0.0309,8120,6420361634,82631292,0.013,27562243480,0.0462,4.29,43,26344002090.0,4.16,6337730342.0,50600000000000.0,0.0232
2004,54500000000000.0,0.0447,8375,6503377772,83016138,0.0129,28846453240,0.0466,4.44,44,27562243480.0,4.29,6420361634.0,52100000000000.0,0.0309
2005,56700000000000.0,0.0402,8601,6586970132,83592360,0.0129,29924588820,0.0374,4.54,44,28846453240.0,4.44,6503377772.0,54500000000000.0,0.0447
2006,59200000000000.0,0.0446,8871,6671452015,84481883,0.0128,30943452550,0.034,4.64,45,29924588820.0,4.54,6586970132.0,56700000000000.0,0.0402
2007,61800000000000.0,0.0437,9141,6757308781,85856766,0.0129,32112582940,0.0378,4.75,45,30943452550.0,4.64,6671452015.0,59200000000000.0,0.0446
2008,63000000000000.0,0.0206,9210,6844457662,87148881,0.0129,32307290310,0.0061,4.72,46,32112582940.0,4.75,6757308781.0,61800000000000.0,0.0437
2009,62200000000000.0,0.006137500000000001,8971,6932766416,88308754,0.0129,31897660490,-0.0127,4.6,47,32307290310.0,4.72,6844457662.0,63000000000000.0,0.0206
2010,65000000000000.0,0.0452,9257,7021732148,88965732,0.0128,33848387620,0.0612,4.82,47,31897660490.0,4.6,6932766416.0,62200000000000.0,0.006137500000000001
2011,67200000000000.0,0.0334,9446,7110923765,89191617,0.0127,34911300320,0.0314,4.91,48,33848387620.0,4.82,7021732148.0,65000000000000.0,0.0452
2012,69000000000000.0,0.0269,9579,7201202485,90278720,0.0127,35379993670,0.0134,4.91,48,34911300320.0,4.91,7110923765.0,67200000000000.0,0.0334
2013,71000000000000.0,0.0287,9732,7291793585,90591100,0.0126,36066749090,0.0194,4.95,49,35379993670.0,4.91,7201202485.0,69000000000000.0,0.0269
2014,73200000000000.0,0.0313,9914,7381616244,89822659,0.0123,36290301590,0.0062,4.92,50,36066749090.0,4.95,7291793585.0,71000000000000.0,0.0287
2015,75500000000000.0,0.0313,10103,7470491872,88875628,0.012,36158843940,-0.0036,4.84,50,36290301590.0,4.92,7381616244.0,73200000000000.0,0.0313
2016,77600000000000.0,0.0281,10266,7558554526,88062654,0.0118,36256039370,0.0027,4.8,51,36158843940.0,4.84,7470491872.0,75500000000000.0,0.0313
2017,80300000000000.0,0.0345,10499,7645617954,87063428,0.0115,36890294700,0.0175,4.83,51,36256039370.0,4.8,7558554526.0,77600000000000.0,0.0281
2018,82900000000000.0,0.0328,10726,7729902781,84284827,0.011,37831867370,0.0255,4.89,52,36890294700.0,4.83,7645617954.0,80300000000000.0,0.0345
2019,85100000000000.0,0.0268,10898,7811293698,81390917,0.0105,37824905990,-0.0002,4.84,52,37831867370.0,4.89,7729902781.0,82900000000000.0,0.0328
2020,82700000000000.0,0.006137500000000001,10483,7887001292,75707594,0.0097,35944470190,-0.0314125,4.56,53,37824905990.0,4.84,7811293698.0,85100000000000.0,0.0268
2021,87900000000000.0,0.0602375,11054,7954448391,73518217,0.0086,38082163770,0.0595,4.79,53,35944470190.0,4.56,7887001292.0,82700000000000.0,0.006137500000000001
2022,90800000000000.0,0.0324,11317,8021407192,73518217,0.0084,38521997860,0.0115,4.8,54,38082163770.0,4.79,7954448391.0,87900000000000.0,0.0602375
